GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
13507,,No,Gift Shops--Not-For-Profit Only,,,,,No,
13590,,No,Glass Dealers and Glaziers,,,,,No,
13621,,No,Grain Milling,,,,,No,
13670,,No,Grocery Distributors,,,,,No,
13673,,No,Grocery Stores,,,,,No,
13715,,No,Hardware and Tool Distributors,,,,,No,
13716,,No,Hardware Stores,,,,,No,
13720,,No,Health or Natural Food Stores,,,,,No,
13759,,No,Hearing Aid Stores,,,,,No,
13930,,No,Heating or Combined Heating and Air Conditioning Equipment--Dealers or Distributors Only,,,,,No,
14068,,No,Hide Dealers and Distributors--Raw,,,,,No,
14101,,No,"Hobby, Craft or Artists' Supply Stores",,,,,No,
14279,,No,Home Improvement Stores,,,,,No,
14401,,No,Ice Cream Stores,,,,,No,
14405,,No,Ice Dealers and Distributors,,,,,No,
14527,,No,Janitorial Supplies--Dealers or Distributors,,,,,No,
14655,,No,Jewelry Stores or Distributors,,,,,No,
14731,,No,Laundries and Dry Cleaners--Self-Service,,,,,No,
14732,,No,Laundry and Dry Cleaning or Dyeing Receiving Stations,,,,,No,
14733,,No,Laundry and Dry Cleaning Stores,,,,,No,
14734,,No,Laundry Rental Service,,,,,No,
14855,,No,Livestock Dealers or Commission Merchants,,,,,No,
14913,,No,Locksmiths,,,,,No,
15060,,No,Machinery or Equipment Dealers--Construction or Industrial--Mobile Type,,,,,No,
15061,,No,Machinery or Equipment Dealers--Farm Type,,,,,No,
15062,,No,Machinery or Equipment Dealers,,,,,No,
15063,,No,Machinery or Equipment Dealers--Yard or Garden Type,,,,,No,
15070,,No,Mail Box or Packaging Stores,,,,,No,
15119,,No,Markets--Not Open Air (Lessor's Risk Only) Other Than Not-For-Profit,,,,,No,
15120,,No,Markets--Not Open Air (Lessor's Risk Only) Not-For-Profit Only,,,,,No,
15123,,No,Markets--Open Air (Lessor's Risk Only) Other Than Not-For-Profit,,,,,No,
15124,,No,Markets--Open Air (Lessor's Risk Only) Not-For-Profit Only,,,,,No,
15188,,No,Oil or Gas Well Supplies or Equipment Dealers--Secondhand,,,,,No,
15223,,No,"Meat, Fish, Poultry or Seafood--Distributors",,,,,No,
15224,,No,"Meat, Fish, Poultry or Seafood Stores",,,,,No,
15300,,No,"Medical, Hospital and Surgical Equipment and Supplies--Rented to Others",,,,,No,
15314,,No,"Medical, Hospital and Surgical Supply Stores",,,,,No,
15404,,No,Metal Dealers or Distributors--Nonstructural,,,,,No,
15405,,No,Metal Dealers or Distributors--Structural,,,,,No,
15406,,No,Metal Scrap Dealers,,,,,No,
15488,,No,Mobile Home Sales Agencies,,,,,No,
